uuid,latitude,longitude,storeType,city,countryCode,houseNumber,houseNumberExtra,postalCode,street,openingDays,machineWorking,supermarketBranch
ocwKYx4XBzAAAAFIIxQYwKxK,51.731862,3.773411,SupermarktPuP,Renesse,NLD,1,,4325 BD,Wilhelminaweg,{},,jumbo
erQKYx4XlaAAAAFmEtcIysKJ,51.362622,5.159161,SupermarktPuP,Reusel,NLD,19,,5541 EE,Schoolstraat,{},,jumbo
nC4KYx4XLQMAAAFIu9MYwKxK,51.958275,5.568021,SupermarktPuP,Rhenen,NLD,69,,3911 KA,Plantsoenstraat,{},,jumbo
snwKYx4XlIcAAAFIxW4YwKxK,51.868761,4.601280,SupermarktPuP,Ridderkerk,NLD,72,,2981 ET,Ridderhof,{},,jumbo
l8sKYx4XlVEAAAFqQx8ZpwSZ,51.588563,4.918835,SupermarktPuP,Rijen,NLD,20,,5121 ES,Wilhelminaplein,{},,jumbo
DXUKYx4X.EoAAAFImVMYwKxK,52.310702,6.520921,SupermarktPuP,Rijssen,NLD,34,,7461 AX,Boomkamp,{},,jumbo
1rYKYx4Xc9gAAAFmb09Ssg4U,52.312822,6.496097,SupermarktPuP,Rijssen,NLD,5,,7463 CH,Laan Oud-Indiegangers,{},,jumbo
tuwKY7Sl1.IAAAGHXXY3Yu5p,53.137856,6.429479,SupermarktPuP,Roden,NLD,1,,9301 AX,Westerbaan,{},,jumbo
fQAKYx4XODoAAAFI.1IYwKrH,51.193503,5.984644,SupermarktPuP,Roermond,NLD,5,,6041 EE,Roersingelpassage,{},,jumbo
0ZsKY7PTLYcAAAGLdl44doNM,51.186390,6.010300,SupermarktPuP,Roermond,NLD,35,,6043 JR,Kasteel Hornstraat,{},,jumbo
zy8KY7QTIPAAAAGETx84.eUA,51.522034,4.472260,SupermarktPuP,Roosendaal,NLD,2-4,,4707 CR,Lindenburg,{},,jumbo
s2IKYx4X0UUAAAFIhpoYwKxK,51.534129,4.443489,SupermarktPuP,Roosendaal,NLD,103-109,,4703 GX,Rembrandtgalerij,{},,jumbo
FGAKY7Q7K0kAAAFt4S8mp_DR,51.522808,4.463900,SupermarktPuP,Roosendaal,NLD,1A,,4707 CH,Streuvelslaan,{},,jumbo
2hQKYx4X.v8AAAFInjoYwKxK,51.536074,4.465786,SupermarktPuP,Roosendaal,NLD,7,,4702 KE,Van Beethovenlaan,{},,jumbo
wQYKYx4XuHsAAAFlbdww.rFh,51.715547,5.361841,SupermarktPuP,Rosmalen,NLD,55,,5241 BE,Harry Coppensstraat,{},,jumbo
.EEKYx4XXeIAAAFIbFMYwKrH,51.699550,5.341700,SupermarktPuP,Rosmalen,NLD,16-22,,5246 BR,Pastoor van Thiellaan,{},,jumbo
P_IKYx4X_l0AAAFIeUoYwKxK,51.718174,5.363011,SupermarktPuP,Rosmalen,NLD,10,,5241 EJ,Vreeburg,{},,jumbo
RNMKYx4XAOwAAAFIzDcYwKxK,51.922860,4.485460,SupermarktPuP,Rotterdam,NLD,13-19,,3011 HE,Botersloot,{},,jumbo
PYwKY7R2T7kAAAF1f3NPnK.4,51.916176,4.451604,SupermarktPuP,Rotterdam,NLD,20,,3023 RG,Gerrit Jan Mulderstraat,{},,jumbo
bCMKYx4XYBQAAAFl_X4viPRU,51.903120,4.496199,SupermarktPuP,Rotterdam,NLD,77A,,3072 JE,Hillelaan,{},,jumbo
DPEKY7Wb6TIAAAGKmVM3kWKx,51.920780,4.482500,SupermarktPuP,Rotterdam,NLD,1005,,3011 PM,Hoogstraat,{},,jumbo
y5IKYx4XOAwAAAFNX_o7fpNP,51.877341,4.519412,SupermarktPuP,Rotterdam,NLD,293,,3076 EP,Spinozaweg,{},,jumbo
ItMKYx4XHmYAAAFIFnAYwKxK,51.886404,4.546346,SupermarktPuP,Rotterdam,NLD,63,,3078 AL,Keizerswaard,{},,jumbo
SE8KYx4XuW4AAAFIoMYYwKxJ,51.939974,4.548923,SupermarktPuP,Rotterdam,NLD,21,,3067 AP,Samuel Esmeijerplein,{},,jumbo
xJ8KYx4X3iUAAAFIWQkYwKxK,51.962270,4.550861,SupermarktPuP,Rotterdam,NLD,435,,3069 EA,Hesseplaats,{},,jumbo
MSIKYx4Xm1AAAAFImrwYwKxJ,51.986860,4.583800,SupermarktPuP,Rotterdam,NLD,402,,3059 XT,Sicilieboulevard,{},,jumbo
kCMKYx4XXaIAAAFIOB0YwKrH,51.909892,4.445285,SupermarktPuP,Rotterdam,NLD,62,,3025 AD,Schiedamseweg,{},,jumbo
mOIKYx4XB0MAAAFIonAYwKxK,51.911070,4.498710,SupermarktPuP,Rotterdam,NLD,33,,3071 PS,Vijf Werelddelen,{},,jumbo
RO4KY7VMg1UAAAGILKE29w1P,51.917750,4.486680,SupermarktPuP,Rotterdam,NLD,73Z,,3011 WK,Wijnhaven,{},,jumbo
EY0KYx4XZvEAAAFIGKQYwKxK,53.164310,6.787227,SupermarktPuP,Sappemeer,NLD,103,,9611 AC,Noorderstraat,{},,jumbo
1xQKY7R98MUAAAF0JXZL0dc2,52.788745,4.800744,SupermarktPuP,Schagen,NLD,9,,1741 HB,Langestraat,{},,jumbo
eywKYx4XBkYAAAFn_OMST9N6,51.745834,5.631996,SupermarktPuP,Schaijk,NLD,2,,5374 BX,Kapelanieplein,{},,jumbo
uK0KY7V_LjMAAAGGzZtmkwqK,53.176170,6.969485,SupermarktPuP,Scheemda,NLD,3,,9679 AL,Vredenhovenstraat,{},,jumbo
i0YKY7Px1WgAAAFvSf5grqvq,52.080626,5.489845,SupermarktPuP,Scherpenzeel,NLD,11,,3925 JN,Marktstraat,{},,jumbo
ZgkKY7XahywAAAF5ZgdFPrBT,52.097164,4.269528,SupermarktPuP,Scheveningen,NLD,7,,2583 CS,Van Bergenstraat,{},,jumbo
EVAKYx4XLuUAAAFIEtYYwKxK,51.929550,4.402537,PuP,Schiedam,NLD,406,,3125 BK,'s-Gravenlandseweg,{},,jumbo
0hkKYx4X1wEAAAFJ0VpBh0Gd,51.605829,5.446227,SupermarktPuP,Schijndel,NLD,5,,5481 SG,Rooiseheide,{},,jumbo
n1oKYx4X_AMAAAFIQNEYwKxJ,51.619075,5.432339,SupermarktPuP,Schijndel,NLD,4,,5481 AS,Sint Jorisplein,{},,jumbo
cc4KYx4XSh0AAAFIqz8YwKxK,52.701062,4.693601,SupermarktPuP,Schoorl,NLD,3,,1871 EB,Heereweg,{},,jumbo
7ygKYx4XKlgAAAFI1YAYwKWg,51.424294,6.035856,SupermarktPuP,Sevenum,NLD,64,,5975 NB,Horsterweg,{},,jumbo
0fUKYx4XEN4AAAFmuoh80czW,51.006401,5.853358,SupermarktPuP,Sittard,NLD,38,,6135 CH,Dempseystraat,{},,jumbo
uVMKY7XBe8EAAAGMOVE4jjyx,50.996098,5.894392,SupermarktPuP,Sittard,NLD,2,,6132 GN,Romeinenstraat,{},,jumbo
0c8KY7NN.VMAAAF8aXJIXuiD,50.993400,5.841390,SupermarktPuP,Sittard,NLD,11,,6135 LP,Zurichstraat,{},,jumbo
cVYKYx4XjjgAAAFIpSgYwKxK,52.627068,6.555704,SupermarktPuP,Slagharen,NLD,19,,7776 AG,Herenstraat,{},,jumbo
9iIKYx4XpAYAAAFIYjkYwKxK,51.819860,4.775273,SupermarktPuP,Sliedrecht,NLD,41,,3361 BC,Kerkbuurt,{},,jumbo
GB0KY7PPvTUAAAGIJTA2ysGO,51.826220,4.759817,SupermarktPuP,Sliedrecht,NLD,84,,3363 HN,Populierenhof,{},,jumbo
elAKYx4XEskAAAFm6FF2_.aW,51.309789,3.380112,SupermarktPuP,Sluis,NLD,41,,4524 JB,Sint Annastraat,{},,jumbo
PCgKYx4Xx4QAAAFISgcYwKxK,52.948429,6.445401,SupermarktPuP,Smilde,NLD,21-4,,9422 AB,Veenhoopsweg,{},,jumbo
c18KYx4XF.wAAAFMzYccobXe,53.021280,5.647527,SupermarktPuP,Sneek,NLD,171,,8608 WD,Molenkrite,{},,jumbo
zJQKYx4XsPoAAAFMvYYcobXe,53.035496,5.667409,SupermarktPuP,Sneek,NLD,4,,8603 CS,Normandiaplein,{},,jumbo
BJEKYx4XcX8AAAFMcechgUnv,52.164730,5.308088,SupermarktPuP,Soest,NLD,6,,3768 EM,Zuidpromenade,{},,jumbo
TqkKYx4XrEsAAAFIW8kYwKxK,51.385729,5.711173,SupermarktPuP,Someren,NLD,5,,5711 AS,Speelheuvelstraat,{},,jumbo
